trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,FALSE,"{'a': 0.001, 'e': 0.9991596177334445}",20,0,-90.47968516,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,FALSE,"{'a': 0.001, 'e': 0.9991181296463766}",20,0,-62.80275539,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,FALSE,"{'a': 0.001, 'e': 0.9990756424412622}",25,0,-147.8389846,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
45,FALSE,"{'a': 0.001, 'e': 0.9990321561605888}",20,11,-31.14908302,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
46,FALSE,"{'a': 0.001, 'e': 0.9989876708478425}",25,10,-139.0219339,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 3}",1
47,FALSE,"{'a': 0.001, 'e': 0.9989421865475084}",25,0,-131.7975012,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
48,FALSE,"{'a': 0.001, 'e': 0.9988957033050712}",30,0,-105.2836829,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
49,FALSE,"{'a': 0.001, 'e': 0.9988482211670138}",20,0,-104.4496889,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,FALSE,"{'a': 0.001, 'e': 0.9987997401808185}",25,0,-68.96689876,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
51,FALSE,"{'a': 0.001, 'e': 0.9987502603949663}",20,0,-62.96410158,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
52,FALSE,"{'a': 0.001, 'e': 0.9986997818589368}",30,0,-108.8454647,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
53,FALSE,"{'a': 0.001, 'e': 0.9986483046232089}",25,0,-191.4410085,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
54,FALSE,"{'a': 0.001, 'e': 0.9985958287392593}",25,8,5.5685297,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,FALSE,"{'a': 0.001, 'e': 0.9985423542595644}",25,0,-156.9249252,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
56,FALSE,"{'a': 0.001, 'e': 0.9984878812375985}",20,0,-50.48264699,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
57,FALSE,"{'a': 0.001, 'e': 0.9984324097278344}",30,0,-195.642866,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
58,FALSE,"{'a': 0.001, 'e': 0.9983759397857438}",25,3,-87.91738585,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",1
59,FALSE,"{'a': 0.001, 'e': 0.9983184714677966}",25,0,-131.2138957,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
60,FALSE,"{'a': 0.001, 'e': 0.9982600048314613}",35,0,-270.0750423,"{0: 14, 1: 9, 2: 8, 3: 0, 4: 4}",0
61,FALSE,"{'a': 0.001, 'e': 0.9982005399352042}",20,6,-104.6430882,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
62,FALSE,"{'a': 0.001, 'e': 0.9981400768384904}",20,0,-17.68827426,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
63,FALSE,"{'a': 0.001, 'e': 0.9980786156017829}",20,0,-169.8300246,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
64,FALSE,"{'a': 0.001, 'e': 0.9980161562865429}",20,0,-25.97968202,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
65,FALSE,"{'a': 0.001, 'e': 0.99795269895523}",30,0,-75.1242473,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",1
66,FALSE,"{'a': 0.001, 'e': 0.9978882436713011}",20,1,-97.55764432,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 0}",1
67,FALSE,"{'a': 0.001, 'e': 0.9978227904992117}",25,0,-82.64831722,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
68,FALSE,"{'a': 0.001, 'e': 0.9977563395044151}",30,19,-42.39214675,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
69,FALSE,"{'a': 0.001, 'e': 0.9976888907533621}",25,0,-57.89030422,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
70,FALSE,"{'a': 0.001, 'e': 0.9976204443135014}",25,0,-146.379277,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
71,FALSE,"{'a': 0.001, 'e': 0.9975510002532796}",30,0,-136.7178984,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
72,FALSE,"{'a': 0.001, 'e': 0.9974805586421406}",20,0,-95.69425179,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
73,FALSE,"{'a': 0.001, 'e': 0.9974091195505261}",30,0,-105.1921954,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
74,FALSE,"{'a': 0.001, 'e': 0.9973366830498752}",25,5,-180.0238335,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",1
75,FALSE,"{'a': 0.001, 'e': 0.9972632492126244}",25,0,-127.8484931,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
76,FALSE,"{'a': 0.001, 'e': 0.9971888181122075}",30,0,-234.0427205,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
77,FALSE,"{'a': 0.001, 'e': 0.9971133898230555}",25,0,-43.82673493,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
78,FALSE,"{'a': 0.001, 'e': 0.9970369644205967}",25,13,2.479745023,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,FALSE,"{'a': 0.001, 'e': 0.9969595419812568}",25,0,-196.7514522,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
80,FALSE,"{'a': 0.001, 'e': 0.9968811225824579}",20,0,-87.90155334,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
81,FALSE,"{'a': 0.001, 'e': 0.9968017063026194}",30,0,-167.1607519,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
82,FALSE,"{'a': 0.001, 'e': 0.9967212932211577}",20,0,-113.170499,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
83,FALSE,"{'a': 0.001, 'e': 0.9966398834184859}",30,0,-128.2393721,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
84,FALSE,"{'a': 0.001, 'e': 0.9965574769760137}",25,0,-97.92002004,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
85,FALSE,"{'a': 0.001, 'e': 0.9964740739761475}",20,0,-105.4348239,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
