dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb,pitch_count
2009-03-17,090317_141147sfn,,5,5,518516,122987,30,Walk,B,217,3.659,1.63,5.961,10.222,FF,20.0,0.88,R,1,3,L,gid_2009_03_17_milmlb_sfnmlb_1/,Ball,149.883,-1.08871,5,sfn,0.076301961046,-129.943458845,0.307559414142,5.42470739775,10.5372589329,5.42470739775,10.5372589329,3.5181521699,55,5.877790742,-12.6600719275,-133.273787807,-7.54216643406,9.55799980927,29.2200006561,-13.6129997559,91.42,-0.969287433042,1.48909844499,-0.87,1.54,31,11
2009-03-17,090317_141225sfn,,4,1,518516,430001,31,Strikeout,B,221,3.571,1.623,7.217,7.807,FF,15.0,0.911,R,0,0,L,gid_2009_03_17_milmlb_sfnmlb_1/,Ball,137.421,-0.502053,5,sfn,0.0746661224375,-132.69109791,0.302190568573,6.69223180704,8.12228938061,6.69223180704,8.12228938061,3.70417931116,55,5.7176820273,-14.7037759444,-136.389579935,-5.26590880635,12.2139999466,33.1730016785,-17.3550003357,93.6,-1.33336710312,2.0543080687,-1.24,2.108,0,12
2009-03-17,090317_141307sfn,,4,2,518516,430001,31,Strikeout,S,223,3.571,1.623,6.9,10.067,FF,12.0,0.905,R,0,1,L,gid_2009_03_17_milmlb_sfnmlb_1/,Foul,145.708,-0.187885,5,sfn,0.0739815855825,-134.016544812,0.298236356539,6.38962535415,10.3627949951,6.38962535415,10.3627949951,3.66289430421,55,5.73846331762,-12.2073223923,-137.458736614,-5.66589540026,11.9729997711,31.1489996033,-12.761000473,94.17,-0.326578953934,2.35659465183,-0.234,2.414,10,13
2009-03-17,090317_141334sfn,,4,3,518516,430001,31,Strikeout,S,224,3.571,1.623,10.689,6.664,CH,14.0,0.835,R,1,1,L,gid_2009_03_17_milmlb_sfnmlb_1/,Foul,122.147,0.0246407,5,sfn,0.0821330040808,-120.651468814,0.332056443172,10.0426160638,7.05695538638,10.0426160638,7.05695538638,3.77835300996,55,5.77946455524,-9.27507442091,-123.94356359,-2.14236152326,15.1800005035,26.841000946,-21.5119999237,84.76,1.1302128092,2.58144560192,1.26,2.621,11,14
2009-03-17,090317_141407sfn,,4,4,518516,430001,31,Strikeout,S,225,3.571,1.623,7.6,11.829,FF,7.0,0.905,R,2,1,L,gid_2009_03_17_milmlb_sfnmlb_1/,Swinging Strike,147.392,0.268994,5,sfn,0.07356083773,-134.776806057,0.296614916017,7.09210054422,12.1117347049,7.09210054422,12.1117347049,3.6200722155,55,5.89449094727,-12.3068988413,-138.257359426,-5.73862609847,13.4349996643,31.6769994812,-9.23500045013,94.72,-0.272589449407,2.7988413707,-0.182,2.859,12,15
2009-09-08,090908_192137sfn,,6,1,518516,465784,1,Groundout,S,3,3.26,1.76,1.82,7.105,FF,13.0,0.641,R,0,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Called Strike,165.755,0.193333,1,sfn,0.0781921460664,-126.767164956,0.315651145492,2.94004869799,6.54546442463,2.94004869799,6.54546442463,3.91999052494,55,5.77890978914,-9.03478537593,-130.121382192,-2.67173399554,4.91800011063,28.7219997559,-21.2299994659,88.95,0.472897447131,2.63860686141,0.447,2.655,0,1
2009-09-08,090908_192153sfn,,6,2,518516,465784,1,Groundout,B,4,3.39,1.55,1.979,9.636,FF,4.0,0.96,R,1,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,168.482,1.14891,1,sfn,0.0773448663704,-128.23112905,0.31124156944,3.0706268598,9.12585928443,3.0706268598,9.12585928443,3.85404646785,55,5.85938242408,-7.09083431798,-131.398106816,-1.97246594385,5.28299988174,27.4080005798,-16.4779996109,89.73,1.30890654603,3.51683873829,1.282,3.527,1,2
2009-09-08,090908_192206sfn,,6,3,518516,465784,1,Groundout,B,5,3.3,1.46,3.477,9.396,SL,20.0,0.897,R,1,1,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,159.813,-1.67065,1,sfn,0.0785344187053,-126.394415419,0.314617935174,4.61109129015,8.86880818819,4.61109129015,8.86880818819,3.9629249758,55,5.78487514836,-13.4085493743,-129.199064439,-7.77217429239,7.76399982834,23.8950000916,-17.2460002136,88.72,-1.10498357556,0.818204265093,-1.123,0.843,11,3
2009-09-08,090908_192222sfn,,6,4,518516,465784,1,Groundout,B,6,3.39,1.59,4.895,10.169,FF,4.0,0.856,R,1,2,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,154.428,2.65222,1,sfn,0.0789405031491,-125.56335843,0.318700418181,6.07713335659,9.63919177924,6.07713335659,9.63919177924,4.01461666551,55,5.82728637579,-6.44749329348,-128.891880969,1.38943776238,9.97199953461,28.2319999847,-16.3620003891,88.0,2.15007753117,4.87447646122,2.109,4.877,21,4
2009-09-08,090908_192238sfn,,6,5,518516,465784,1,Groundout,S,7,3.3,1.59,2.082,4.723,FF,7.0,0.922,R,1,3,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Called Strike,156.44,0.71462,1,sfn,0.0784612896407,-126.287764383,0.317345774701,3.21763144799,4.12581945016,3.21763144799,4.12581945016,3.8194490984,55,5.63597753384,-9.44209383205,-129.762974141,-0.464840485477,5.32499993706,29.6610008392,-25.3509997559,88.71,0.219462031759,3.04091088507,0.193,3.056,31,5
